ID,Category,Count,URL
1,Accountants,10786,https://www.zipleaf.us/Products/Accountants
2,Advertising,12142,https://www.zipleaf.us/Products/Advertising
3,Agencies,16670,https://www.zipleaf.us/Products/Agencies
4,Air,8520,https://www.zipleaf.us/Products/Air
5,Apartments,14696,https://www.zipleaf.us/Products/Apartments
6,Associations,8115,https://www.zipleaf.us/Products/Associations
7,Attorneys,36618,https://www.zipleaf.us/Products/Attorneys
8,Automobile,61201,https://www.zipleaf.us/Products/Automobile
9,Beauty,29730,https://www.zipleaf.us/Products/Beauty
10,Body,8100,https://www.zipleaf.us/Products/Body
11,Building,9396,https://www.zipleaf.us/Products/Building
12,Business,15740,https://www.zipleaf.us/Products/Business
13,Care,13160,https://www.zipleaf.us/Products/Care
14,Cars,20528,https://www.zipleaf.us/Products/Cars
15,Centers,8311,https://www.zipleaf.us/Products/Centers
16,Child,9327,https://www.zipleaf.us/Products/Child
17,Churches,48124,https://www.zipleaf.us/Products/Churches
18,City,16028,https://www.zipleaf.us/Products/City
19,Clubs,8100,https://www.zipleaf.us/Products/Clubs
20,Commercial,9724,https://www.zipleaf.us/Products/Commercial
21,Companies,12572,https://www.zipleaf.us/Products/Companies
22,Computer,17580,https://www.zipleaf.us/Products/Computer
23,Computers,10993,https://www.zipleaf.us/Products/Computers
24,Consultants,37127,https://www.zipleaf.us/Products/Consultants
25,Contractors,84312,https://www.zipleaf.us/Products/Contractors
26,Counselors,10420,https://www.zipleaf.us/Products/Counselors
27,County,14587,https://www.zipleaf.us/Products/County
28,Dealers,70945,https://www.zipleaf.us/Products/Dealers
29,Dentists,14445,https://www.zipleaf.us/Products/Dentists
30,Designers,14681,https://www.zipleaf.us/Products/Designers
31,Electric,12622,https://www.zipleaf.us/Products/Electric
32,Engineers,11257,https://www.zipleaf.us/Products/Engineers
33,Equip,11247,https://www.zipleaf.us/Products/Equip
34,Equipment,43193,https://www.zipleaf.us/Products/Equipment
35,Establishments,27887,https://www.zipleaf.us/Products/Establishments
36,Furniture,10130,https://www.zipleaf.us/Products/Furniture
37,General,172558,https://www.zipleaf.us/Products/General
38,Government,43292,https://www.zipleaf.us/Products/Government
39,Health,16409,https://www.zipleaf.us/Products/Health
40,Home,12506,https://www.zipleaf.us/Products/Home
41,Homes,12360,https://www.zipleaf.us/Products/Homes
42,Hotels,10991,https://www.zipleaf.us/Products/Hotels
43,Household,9565,https://www.zipleaf.us/Products/Household
44,Instruction,8133,https://www.zipleaf.us/Products/Instruction
45,Insurance,23766,https://www.zipleaf.us/Products/Insurance
46,Internet services,7773,https://www.zipleaf.us/Products/Internet-services
47,Management,15534,https://www.zipleaf.us/Products/Management
48,Manufacturers,39158,https://www.zipleaf.us/Products/Manufacturers
49,Mfrs,18719,https://www.zipleaf.us/Products/Mfrs
50,Motels,10816,https://www.zipleaf.us/Products/Motels
51,Nec,13928,https://www.zipleaf.us/Products/Nec
52,New,15452,https://www.zipleaf.us/Products/New
53,Non,8995,https://www.zipleaf.us/Products/Non
54,Nonclassified,27833,https://www.zipleaf.us/Products/Nonclassified
55,Offices,28110,https://www.zipleaf.us/Products/Offices
56,Oil,9078,https://www.zipleaf.us/Products/Oil
57,Organizations,28570,https://www.zipleaf.us/Products/Organizations
58,Painting,8534,https://www.zipleaf.us/Products/Painting
59,Parts,9439,https://www.zipleaf.us/Products/Parts
60,Physicians,32870,https://www.zipleaf.us/Products/Physicians
61,Plumbing,9551,https://www.zipleaf.us/Products/Plumbing
62,Products,9634,https://www.zipleaf.us/Products/Products
63,Profit,8605,https://www.zipleaf.us/Products/Profit
64,Public,10569,https://www.zipleaf.us/Products/Public
65,Repairing,36298,https://www.zipleaf.us/Products/Repairing
66,Restaurants,45116,https://www.zipleaf.us/Products/Restaurants
67,Salons,30516,https://www.zipleaf.us/Products/Salons
68,Schools,43406,https://www.zipleaf.us/Products/Schools
69,Service,101369,https://www.zipleaf.us/Products/Service
70,Services,37698,https://www.zipleaf.us/Products/Services
71,Shops,19232,https://www.zipleaf.us/Products/Shops
72,Social,8034,https://www.zipleaf.us/Products/Social
73,Software,8868,https://www.zipleaf.us/Products/Software
74,State,9508,https://www.zipleaf.us/Products/State
75,Stations,8991,https://www.zipleaf.us/Products/Stations
76,Stores,10126,https://www.zipleaf.us/Products/Stores
77,Supls,11167,https://www.zipleaf.us/Products/Supls
78,Surgeons,32676,https://www.zipleaf.us/Products/Surgeons
79,Systems,16465,https://www.zipleaf.us/Products/Systems
80,Telecommunications,10140,https://www.zipleaf.us/Products/Telecommunications
81,Trucking,7945,https://www.zipleaf.us/Products/Trucking
82,Twp,10565,https://www.zipleaf.us/Products/Twp
83,Used,15648,https://www.zipleaf.us/Products/Used
84,Village,10564,https://www.zipleaf.us/Products/Village
85,Whol,23076,https://www.zipleaf.us/Products/Whol
